bra,agi,Tair10_desc
Bo3g078510,AT3G21320,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: ELF3 (EARLY FLOWERING 3); protein C-terminus binding / transcription factor (TAIR:AT2G25930.1); Has 39 Blast hits to 37 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).
Bo3g084370,AT2G04780,FLA7 (FASCICLIN-LIKE ARABINOOGALACTAN 7)
Bo3g084380,AT2G04790,unknown protein
Bo3g086740,AT2G05760,xanthine/uracil permease family protein
Bo3g088590,AT2G15042,protein binding
Bo3g088680,AT2G15480,UGT73B5 (UDP-glucosyl transferase 73B5); UDP-glucosyltransferase/ UDP-glycosyltransferase/ quercetin 3-O-glucosyltransferase/ transferase transferring glycosyl groups
Bo3g089990,AT2G15910,CSL zinc finger domain-containing protein
Bo3g090050,AT2G14960,GH3.1
Bo3g091630,AT2G16740,UBC29 (ubiquitin-conjugating enzyme 29); ubiquitin-protein ligase
Bo3g091790,AT2G16920,UBC23 (UBIQUITIN-CONJUGATING ENZYME 23); small conjugating protein ligase/ ubiquitin-protein ligase
Bo3g091880,AT2G16970,MEE15 (maternal effect embryo arrest 15); tetracycline transporter
Bo3g092220,AT2G17730,zinc finger (C3HC4-type RING finger) family protein
Bo3g094280,AT2G18560,UDP-glucoronosyl/UDP-glucosyl transferase family protein
Bo3g099050,AT5G65570,pentatricopeptide (PPR) repeat-containing protein
Bo3g099060,AT5G65560,pentatricopeptide (PPR) repeat-containing protein
Bo3g101290,AT5G64440,AtFAAH (Arabidopsis thaliana fatty acid amide hydrolase); N-(long-chain-acyl)ethanolamine deacylase/ amidase
Bo3g103000,AT5G63870,PP7 (SERINE/THREONINE PHOSPHATASE 7); protein serine/threonine phosphatase
Bo3g113310,AT3G48750,CDC2 (CELL DIVISION CONTROL 2); cyclin-dependent protein kinase/ kinase/ protein binding / protein kinase
Bo3g113490,AT3G48410,hydrolase alpha/beta fold family protein
Bo3g113510,AT3G48390,MA3 domain-containing protein
Bo3g113760,AT3G48000,ALDH2B4 (ALDEHYDE DEHYDROGENASE 2B4); 3-chloroallyl aldehyde dehydrogenase/ ATP binding / aldehyde dehydrogenase (NAD)
Bo3g135960,AT3G47890,ubiquitin thiolesterase/ zinc ion binding
Bo3g137110,AT1G26590,zinc finger (C2H2 type) family protein
Bo3g139970,AT1G24764,ATMAP70-2 (microtubule-associated proteins 70-2); microtubule binding
Bo3g141620,AT1G27460,NPGR1 (NO POLLEN GERMINATION RELATED 1); calmodulin binding
Bo3g147650,AT1G30160,unknown protein
Bo3g145230,AT1G29700,unknown protein
Bo3g147640,AT1G30135,JAZ8 (JASMONATE-ZIM-DOMAIN PROTEIN 8)
Bo3g149210,AT4G14210,PDS3 (PHYTOENE DESATURASE 3); phytoene dehydrogenase
Bo3g149650,AT4G38910,BPC5 (BASIC PENTACYSTEINE 5); DNA binding / transcription factor
Bo3g149870,AT4G39100,SHL1 (short life); transcription factor/ zinc-mediated transcriptional activator
Bo3g152990,AT4G38070,bHLH family protein
Bo3g153090,AT4G37940,AGL21; transcription factor
Bo3g154040,AT4G36630,EMB2754 (EMBRYO DEFECTIVE 2754); binding / small GTPase regulator
Bo3g157090,AT4G18550,lipase class 3 family protein
Bo3g160940,AT4G19720,glycosyl hydrolase family 18 protein
Bo3g162050,AT4G20130,PTAC14 (PLASTID TRANSCRIPTIONALLY ACTIVE14)
Bo3g162480,AT4G21610,LOL2 (LSD ONE LIKE 2); transcription factor
Bo3g162710,AT4G21200,GA2OX8 (GIBBERELLIN 2-OXIDASE 8); gibberellin 2-beta-dioxygenase
Bo3g164090,AT4G22100,BGLU3 (BETA GLUCOSIDASE 2); catalytic/ cation binding / hydrolase hydrolyzing O-glycosyl compounds
Bo3g167230,AT4G35080,high-affinity nickel-transport family protein
Bo3g167400,AT4G34920,1-phosphatidylinositol phosphodiesterase-related
Bo3g173800,AT4G31720,TAFII15 (TBP-ASSOCIATED FACTOR II 15); RNA polymerase II transcription factor/ transcription factor
Bo3g178230,AT1G50580,glycosyltransferase family protein
Bo3g179730,AT1G51310,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
Bo3g184710,AT1G55110,AtIDD7 (Arabidopsis thaliana Indeterminate(ID)-Domain 7); nucleic acid binding / transcription factor/ zinc ion binding
Bo3g184920,AT1G55280,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Lipase/lipooxygenase PLAT/LH2 (InterPro:IPR008976); Has 27 Blast hits to 27 proteins in 10 species: Archae - 0; Bacteria - 2; Metazoa - 5; Fungi - 0; Plants - 18; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).
Bo3g185610,AT1G55790,ATP binding / nucleotide binding / phenylalanine-tRNA ligase
Bo4g009350,AT2G46400,WRKY46; transcription factor
Bo4g014580,AT2G41905,unknown protein
Bo4g015820,AT2G42230,tubulin-specific chaperone C-related
Bo4g016160,AT2G42550,protein kinase family protein
Bo4g017290,AT2G42830,SHP2 (SHATTERPROOF 2); protein binding / transcription factor
Bo4g021030,AT2G43770,transducin family protein / WD-40 repeat family protein
Bo4g023920,AT2G44735,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT3G18720.1); Has 51 Blast hits to 51 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 1; Fungi - 0; Plants - 50; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
Bo4g024180,AT2G44930,unknown protein
Bo4g024370,AT2G45220,pectinesterase family protein
Bo4g024730,AT2G45540,WD-40 repeat family protein / beige-related
Bo4g025000,AT2G45830,DTA2 (DOWNSTREAM TARGET OF AGL15 2)
Bo4g025380,AT2G40250,GDSL-motif lipase/hydrolase family protein
Bo4g025580,AT2G40080,ELF4 (EARLY FLOWERING 4)
Bo4g025870,AT2G39810,HOS1; ubiquitin-protein ligase
Bo4g026280,AT2G39550,PGGT-I; CAAX-protein geranylgeranyltransferase/ protein heterodimerization
Bo4g026900,AT2G38800,calmodulin-binding protein-related
Bo4g028610,AT2G38255,unknown protein
Bo4g030160,AT2G37780,DC1 domain-containing protein
Bo4g030300,AT2G37660,binding / catalytic/ coenzyme binding
Bo4g032350,AT2G36680,LOCATED IN: ESCRT I complex; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Modifier of rudimentary Modr (InterPro:IPR009851); BEST Arabidopsis thaliana protein match is: VPS37-1 (TAIR:AT3G53120.1); Has 348 Blast hits to 348 proteins in 85 species: Archae - 1; Bacteria - 4; Metazoa - 236; Fungi - 19; Plants - 37; Viruses - 0; Other Eukaryotes - 51 (source: NCBI BLink).
Bo4g034770,AT2G36350,protein kinase putative
Bo4g038900,AT2G35215,unknown protein
Bo4g039590,AT2G34580,unknown protein
Bo4g039700,AT2G34570,MEE21 (maternal effect embryo arrest 21)
Bo4g043830,AT2G33320,C2 domain-containing protein
Bo4g047280,AT2G31960,ATGSL03 (GLUCAN SYNTHASE-LIKE 3); 13-beta-glucan synthase/ transferase transferring glycosyl groups
Bo4g053770,AT2G30980,ASKdZeta (Arabidopsis SHAGGY-related protein kinase dZeta); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase
Bo4g053880,AT2G30920,ATCOQ3 (ARABDIOPSIS THALIANA COENZYME Q 3); hexaprenyldihydroxybenzoate methyltransferase/ polyprenyldihydroxybenzoate methyltransferase
Bo4g059930,AT2G30010,Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible 2010 personal communication).
Bo4g061240,AT2G29670,binding
Bo4g061290,AT2G29640,JOSL (JOSEPHIN-LIKE PROTEIN)
Bo4g069200,AT2G28755,UDP-D-glucuronate carboxy-lyase-related
Bo4g075460,AT2G27430,binding
Bo4g086880,AT1G61590,protein kinase putative
Bo4g092490,AT1G62262,SLAH4 (SLAC1 HOMOLOGUE 4)
Bo4g098420,AT3G62930,glutaredoxin family protein
Bo4g098590,AT3G62680,PRP3 (PROLINE-RICH PROTEIN 3); structural constituent of cell wall
Bo4g101470,AT3G61250,AtMYB17 (myb domain protein 17); DNA binding / transcription factor
Bo4g104770,AT3G60790,F-box protein-related
Bo4g107550,AT3G59790,ATMPK10; MAP kinase/ kinase
Bo4g108650,AT3G58120,BZIP61; DNA binding / transcription activator/ transcription factor
Bo4g111130,AT3G57510,ADPG1; polygalacturonase
Bo4g113020,AT3G56510,TBP-binding protein putative
Bo4g119820,AT3G54610,GCN5; DNA binding / H3 histone acetyltransferase/ histone acetyltransferase
Bo4g120270,AT3G54050,fructose-16-bisphosphatase putative / D-fructose-16-bisphosphate 1-phosphohydrolase putative / FBPase putative
Bo4g120340,AT3G54040,photoassimilate-responsive protein-related
Bo4g120370,AT3G54030,protein kinase family protein
Bo4g122920,AT3G52970,CYP76G1; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding
Bo4g129550,AT4G13880,AtRLP48 (Receptor Like Protein 48); protein binding
Bo4g131080,AT4G13410,ATCSLA15; cellulose synthase/ transferase transferring glycosyl groups
Bo4g135850,AT5G35770,SAP (STERILE APETALA); transcription factor/ transcription regulator
Bo4g136730,AT5G37690,GDSL-motif lipase/hydrolase family protein
Bo4g137200,AT5G38410,ribulose bisphosphate carboxylase small chain 3B / RuBisCO small subunit 3B (RBCS-3B) (ATS3B)
Bo4g137360,AT5G38565,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: FBD (InterPro:IPR013596) Cyclin-like F-box (InterPro:IPR001810) FBD-like (InterPro:IPR006566); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT5G38570.1); Has 991 Blast hits to 931 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 991; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
Bo4g139520,AT5G39440,SnRK1.3 (SNF1-RELATED PROTEIN KINASE 1.3); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase
Bo4g139620,AT5G40120,AGL76 (AGAMOUS-LIKE 76); DNA binding / transcription factor
Bo4g141980,AT5G41315,GL3 (GLABROUS 3); protein binding / transcription factor
Bo4g143930,AT5G37810,NIP4;1 (NOD26-LIKE INTRINSIC PROTEIN 4;1); water channel
Bo4g145510,AT5G40310,exonuclease family protein
Bo4g147010,AT2G21610,pectinesterase family protein
Bo4g151720,AT2G23630,sks16 (SKU5 Similar 16); copper ion binding / pectinesterase
Bo4g154020,AT2G23945,chloroplast nucleoid DNA-binding protein-related
Bo4g158600,AT2G25520,phosphate translocator-related
Bo4g165100,AT2G28170,ATCHX7; monovalent cation:proton antiporter/ sodium:hydrogen antiporter
Bo4g169180,AT2G29150,tropinone reductase putative / tropine dehydrogenase putative
Bo4g169470,AT2G29640,JOSL (JOSEPHIN-LIKE PROTEIN)
Bo4g170840,AT2G30200,binding / catalytic/ transferase
Bo4g173120,AT2G30540,glutaredoxin family protein
Bo4g173150,AT2G30570,PSBW (PHOTOSYSTEM II REACTION CENTER W)
Bo4g176390,AT2G31420,DNA binding
Bo4g177560,AT2G31810,acetolactate synthase small subunit putative
Bo4g177930,AT2G32390,ATGLR3.5 (GLUTAMATE RECEPTOR 3.5); intracellular ligand-gated ion channel
Bo4g178120,AT2G32530,ATCSLB03; cellulose synthase/ transferase/ transferase transferring glycosyl groups
Bo4g178220,AT2G32590,INVOLVED IN: mitosis mitotic cell cycle; LOCATED IN: nucleus chloroplast; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: Barren (InterPro:IPR008418); Has 340 Blast hits to 330 proteins in 142 species: Archae - 0; Bacteria - 0; Metazoa - 135; Fungi - 102; Plants - 21; Viruses - 1; Other Eukaryotes - 81 (source: NCBI BLink).
Bo4g179260,AT2G32660,AtRLP22 (Receptor Like Protein 22); kinase/ protein binding
Bo4g180590,AT2G33040,ATP synthase gamma chain mitochondrial (ATPC)
Bo4g183150,AT2G35250,unknown protein
Bo4g182980,AT2G34880,MEE27 (maternal effect embryo arrest 27); transcription factor
Bo4g185830,AT2G35960,NHL12
Bo4g186500,AT2G36960,TKI1 (TSL-kinase interacting protein 1); DNA binding / transcription factor
Bo4g187140,AT2G37700,catalytic/ iron ion binding / oxidoreductase
Bo4g187290,AT2G37960,unknown protein
Bo4g187770,AT2G38740,haloacid dehalogenase-like hydrolase family protein
Bo4g188480,AT2G39760,BPM3; protein binding
Bo4g190140,AT2G40470,LBD15 (LOB DOMAIN-CONTAINING PROTEIN 15)
Bo4g190620,AT2G40990,zinc ion binding
Bo4g191430,AT2G42310,unknown protein
Bo4g192940,AT2G43080,AT-P4H-1 (A. THALIANA P4H ISOFORM 1); oxidoreductase acting on paired donors with incorporation or reduction of molecular oxygen 2-oxoglutarate as one donor and incorporation of one atom each of oxygen into both donors / procollagen-proline 4-dioxygen
Bo4g192920,AT2G43060,transcription factor
Bo4g194240,AT2G43290,MSS3 (multicopy suppressors of snf4 deficiency in yeast 3); calcium ion binding
Bo4g198610,AT2G47400,CP12-1
Bo5g002430,AT1G01520,myb family transcription factor
Bo5g002840,AT1G01020,ARV1
Bo5g002950,AT1G01010,ANAC001 (Arabidopsis NAC domain containing protein 1); transcription factor
Bo5g003160,AT1G02450,NIMIN1 (NIM1-INTERACTING 1); protein binding
Bo5g003270,AT1G02630,equilibrative nucleoside transporter putative (ENT8)
Bo5g003830,AT1G03400,2-oxoglutarate-dependent dioxygenase putative
Bo5g004000,AT1G03700,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: hypocotyl flower; EXPRESSED DURING: petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0497 trans-membrane plant (InterPro:IPR006702) Uncharacterised protein family UPF0497 trans-membrane plant subgroup (InterPro:IPR006459); BEST Arabidopsis thaliana protein match is: integral membrane family protein (TAIR:AT4G03540.1); Has 260 Blast hits to 260 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 260; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
Bo5g004840,AT1G04730,AAA-type ATPase family protein
Bo5g004940,AT1G04840,pentatricopeptide (PPR) repeat-containing protein
Bo5g006980,AT1G05805,basic helix-loop-helix (bHLH) family protein
Bo5g005620,AT1G05920,DNA binding
Bo5g007470,AT1G06430,FTSH8; ATP-dependent peptidase/ ATPase/ metallopeptidase/ zinc ion binding
Bo5g007480,AT1G06440,ubiquitin thiolesterase
Bo5g009180,AT1G08680,ZIGA4 (ARF GAP-like zinc finger-containing protein ZiGA4); ARF GTPase activator/ DNA binding / zinc ion binding
Bo5g009500,AT1G09155,AtPP2-B15 (Phloem protein 2-B15); carbohydrate binding
Bo5g009940,AT1G09550,pectinacetylesterase putative
Bo5g010180,AT1G09790,COBL6 (COBRA-LIKE PROTEIN 6 PRECURSOR)
Bo5g012150,AT1G10620,protein kinase family protein
Bo5g013540,AT1G11210,unknown protein
Bo5g014970,AT1G11740,ankyrin repeat family protein
Bo5g015120,AT1G13330,Encodes the Arabidopsis Hop2 homologue. In other species Hop2 is proposed to be involved in inter-homolog bias in double strand break repair.
Bo5g017400,AT1G11960,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF221 (InterPro:IPR003864); BEST Arabidopsis thaliana protein match is: early-responsive to dehydration protein-related / ERD protein-related (TAIR:AT1G62320.1); Has 746 Blast hits to 706 proteins in 111 species: Archae - 0; Bacteria - 4; Metazoa - 131; Fungi - 370; Plants - 224; Viruses - 0; Other Eukaryotes - 17 (source: NCBI BLink).
Bo5g016460,AT1G12900,GAPA-2 (GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE A SUBUNIT 2); NAD or NADH binding / binding / catalytic/ glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)/ glyceraldehyde-3-phosphate dehydrogenase
Bo5g017680,AT1G13630,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: pentatricopeptide (PPR) repeat-containing protein (TAIR:AT3G22470.1); Has 23967 Blast hits to 5877 proteins in 185 species: Archae - 3; Bacteria - 26; Metazoa - 708; Fungi - 595; Plants - 21695; Viruses - 0; Other Eukaryotes - 940 (source: NCBI BLink).
Bo5g020410,AT1G15000,scpl50 (serine carboxypeptidase-like 50); serine-type carboxypeptidase
Bo5g021270,AT1G15800,unknown protein
Bo5g021380,AT1G15860,INVOLVED IN: biological_process unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Defective in cullin neddylation (InterPro:IPR014764) Protein of unknown function DUF298 (InterPro:IPR005176); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G12760.1); Has 576 Blast hits to 576 proteins in 121 species: Archae - 0; Bacteria - 0; Metazoa - 403; Fungi - 78; Plants - 51; Viruses - 0; Other Eukaryotes - 44 (source: NCBI BLink).
Bo5g022380,AT1G17050,SPS2 (Solanesyl diphosphate synthase 2); trans-octaprenyltranstransferase
Bo5g025330,AT1G18370,HIK (HINKEL); ATP binding / microtubule motor
Bo5g024040,AT1G17750,leucine-rich repeat transmembrane protein kinase putative
Bo5g025730,AT1G18710,AtMYB47 (myb domain protein 47); DNA binding / transcription factor
Bo5g030440,AT1G20590,cyclin putative
Bo5g030700,AT1G20850,XCP2 (xylem cysteine peptidase 2); cysteine-type peptidase/ peptidase
Bo5g030730,AT1G20860,phosphate transporter family protein
Bo5g030900,AT1G20960,emb1507 (embryo defective 1507); ATP binding / ATP-dependent helicase/ helicase/ nucleic acid binding / nucleoside-triphosphatase/ nucleotide binding
Bo5g039070,AT1G22960,pentatricopeptide (PPR) repeat-containing protein
Bo5g039530,AT1G23380,KNAT6; DNA binding / transcription activator/ transcription factor
Bo5g043450,AT1G25270,LOCATED IN: endomembrane system membrane; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF6 transmembrane (InterPro:IPR000620); BEST Arabidopsis thaliana protein match is: nodulin MtN21 family protein (TAIR:AT1G68170.1); Has 1288 Blast hits to 1274 proteins in 251 species: Archae - 4; Bacteria - 491; Metazoa - 4; Fungi - 8; Plants - 639; Viruses - 0; Other Eukaryotes - 142 (source: NCBI BLink).
Bo5g045000,AT1G26700,MLO14 (MILDEW RESISTANCE LOCUS O 14); calmodulin binding
Bo5g048320,AT1G31860,AT-IE; phosphoribosyl-AMP cyclohydrolase/ phosphoribosyl-ATP diphosphatase
Bo5g048490,AT1G32430,F-box family protein
Bo5g048620,AT1G32120,unknown protein
Bo5g051830,AT1G24420,transferase family protein
Bo5g052140,AT1G27620,transferase family protein
Bo5g062700,AT1G30290,unknown protein
Bo5g063030,AT1G30480,DRT111; nucleic acid binding / nucleotide binding
Bo5g065680,AT1G31050,transcription factor
Bo5g086490,AT1G34130,STT3B (staurosporin and temperature sensitive 3-like b); oligosaccharyl transferase
